ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _yoast_wpseo_metadesc
,simple,F02951,"Olive Range Roof, Stoep & Pave Coat 5LT - White",1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,191.59,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F02939,"Olive Range Roof, Stoep & Pave Coat 5LT - Forest Leaf",1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,209.3,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F02952,"Olive Range Roof, Stoep & Pave Coat 20LT - Red Oxide",1,,visible,,,,,taxable,,1,17,3,0,0,,,,,1,,,595.7,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F02953,"Olive Range Roof, Stoep & Pave Coat 20LT - Burgundy",1,,visible,,,,,taxable,,1,4,3,0,0,,,,,1,,,595.7,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F02954,"Olive Range Roof, Stoep & Pave Coat 20LT - Black",1,,visible,,,,,taxable,,1,4,3,0,0,,,,,1,,,595.7,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F02955,"Olive Range Roof, Stoep & Pave Coat 20LT - Grey",1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,595.7,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F02956,"Olive Range Roof, Stoep & Pave Coat 20LT - Charcoal",1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,595.7,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F02957,"Olive Range Roof, Stoep & Pave Coat 20LT - White",1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,595.7,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F02940,"Olive Range Roof, Stoep & Pave Coat 20LT - Forest Leaf",1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,652.05,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F03609,PS Dadoo Rails Corner Rail 2.4M 35MM * 35MM,1,,visible,,,,,taxable,,1,900,3,0,0,,,,,1,,,56.27,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03165,PS Dadoo Rails 2.4M x 4CM (Flat Top),1,,visible,,,,,taxable,,1,3604,3,0,0,,,,,1,,,64.32,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03166,PS Dadoo Rails 2.4M x 6CM (Flat Top),1,,visible,,,,,taxable,,1,2773,3,0,0,,,,,1,,,112.62,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03167,PS Dadoo Rails 2.4M x 4CM (Scalloped Top),1,,visible,,,,,taxable,,1,2201,3,0,0,,,,,1,,,69.15,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03168,PS Dadoo Rails 2.4M x 6CM (Scalloped Top),1,,visible,,,,,taxable,,1,2208,3,0,0,,,,,1,,,120.67,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03082,DIY Peel & Stick Mirrors Diamond Shape 17 x 30CM Silver,1,,visible,,,,,taxable,,1,2983,3,0,0,,,,,1,,,28.9,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03083,DIY Peel & Stick Mirrors Diamond Shape 17 x 30CM Rose Gold,1,,visible,,,,,taxable,,1,3222,3,0,0,,,,,1,,,28.9,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03079,DIY Peel & Stick Mirrors Hexagon Shape 23 x 26.5CM Silver,1,,visible,,,,,taxable,,1,2776,3,0,0,,,,,1,,,36.95,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03080,DIY Peel & Stick Mirrors Hexagon Shape 23 x 26.5CM Black,1,,visible,,,,,taxable,,1,3458,3,0,0,,,,,1,,,36.95,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03081,DIY Peel & Stick Mirrors Hexagon Shape 23 x 26.5CM Rose Gold,1,,visible,,,,,taxable,,1,3038,3,0,0,,,,,1,,,36.95,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03066,DIY Stainless Steel Edging Strip Roll 2CM x 5M Black Trim,1,,visible,,,,,taxable,,1,804,3,0,0,,,,,1,,,117.45,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03065,DIY Stainless Steel Edging Strip Roll 2CM x 5M Silver Trim,1,,visible,,,,,taxable,,1,133,3,0,0,,,,,1,,,117.45,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03064,DIY Stainless Steel Edging Strip Roll 2CM x 5M Gold Trim,1,,visible,,,,,taxable,,1,220,3,0,0,,,,,1,,,128.72,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03067,DIY Stainless Steel Edging Strip Roll 2CM x 5M Rose Gold Trim,1,,visible,,,,,taxable,,1,240,3,0,0,,,,,1,,,128.72,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03070,DIY Stainless Steel Edging Strip Roll 5CM x 5M Black Trim,1,,visible,,,,,taxable,,1,149,3,0,0,,,,,1,,,186.68,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03069,DIY Stainless Steel Edging Strip Roll 5CM x 5M Silver Trim,1,,visible,,,,,taxable,,1,108,3,0,0,,,,,1,,,186.68,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03068,DIY Stainless Steel Edging Strip Roll 5CM x 5M Gold Trim,1,,visible,,,,,taxable,,1,57,3,0,0,,,,,1,,,202.78,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03071,DIY Stainless Steel Edging Strip Roll 5CM x 5M Rose Gold Trim,1,,visible,,,,,taxable,,1,105,3,0,0,,,,,1,,,202.78,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03844,WPC Single Fluted Panel with Spotlight - Nero,1,,visible,,,,,taxable,,1,130,3,0,0,,,,,1,,,2316.95,"All Products, Hardware, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
,simple,F03845,WPC Single Fluted Panel with Spotlight - Wood,1,,visible,,,,,taxable,,1,126,3,0,0,,,,,1,,,2316.95,"All Products, Hardware, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
,simple,F03846,WPC Single Fluted Panel with Spotlight - Grey,1,,visible,,,,,taxable,,1,114,3,0,0,,,,,1,,,2316.95,"All Products, Hardware, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
,simple,F03847,WPC Single Fluted Panel with Spotlight - Marble,1,,visible,,,,,taxable,,1,116,3,0,0,,,,,1,,,2316.95,"All Products, Hardware, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
,simple,F03848,Light Spot for WPC Panel 50MM*50MM,1,,visible,,,,,taxable,,1,3520,3,0,0,,,,,1,,,109.4,"All Products, Hardware, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
,simple,F03169,UV Joiner T Profile Aluminium Gold - 3M,1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,45.0,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
