wc_id,sku,name,type,published,supplier,regular_price,has_price,has_image,has_desc,categories,gaps
31201,34H4IF31192,Palestine Cola No Sugar,variable,True,unknown,,False,True,True,"Lifestyle & Everyday Essentials, Lifestyle & Everyday Essentials > Palestine Cola",no_price
31242,QCNJ9531242,Table Lamp with Textured Base,variable,True,unknown,,False,True,True,"Homeware > Decor > Candles & Holders, Hardware > Electrical > Lights",no_price
31356,PMLQ620447,SAMSUNG GALAXY TAB S9 FE+ 5G (new),simple,True,unknown,15250,True,True,True,Mobile Tech & Gadgets > Laptops,
31357,E7390,Refurbished DELL E7390 (No Touch) I5 8TH GEN Laptop,simple,True,unknown,3749,True,True,True,Mobile Tech & Gadgets > Laptops,
31358,HP430,HP 430 G3 6TH Gen,simple,True,unknown,3249,True,True,True,Mobile Tech & Gadgets > Laptops,
31359,PRO7,Refurbished SURFACE PRO 7  I5 7TH Gen Laptop,simple,True,unknown,4249,True,True,True,Mobile Tech & Gadgets > Laptops,
31360,MiniI5DESK,LENOVO MINI DESKTOP - I5 4TH GEN 4/128 SSD,simple,True,unknown,1500,True,True,True,Mobile Tech & Gadgets > Laptops,
31361,Z30A,Refurbished TOSHIBA Z30A 6th Gen i5 Lap Top,simple,True,unknown,3200,True,True,True,Mobile Tech & Gadgets > Laptops,
31362,iPad9,iPad 9th Gen 64GB WiFi (New),simple,True,unknown,6150,True,True,True,Mobile Tech & Gadgets > Laptops,
31363,iPad1064,iPad 10th Gen 64GB WiFi (New),simple,True,unknown,6900,True,True,True,Mobile Tech & Gadgets > Laptops,
31364,iPad10265,iPad 10th Gen 256GB WiFi (New),simple,True,unknown,10650,True,True,True,Mobile Tech & Gadgets > Laptops,
31365,iPad-Pro-11-M4-256GB,iPad Pro 11 M4 256GB WiFi Space Black (New),simple,True,unknown,20650,True,True,True,Mobile Tech & Gadgets > Laptops,
