sku,name,wholesale_price,retail_price,brand
F02005,MUG BEER PLASTIC 500ML,,6.2,
F02330,WINE CUPS 6's (BG) ASSTD COLOURS,,21.95,
F02007,JUG PLASTIC 1.5LT ELITE ASSTD COLOURS,,8.95,ELITE
F02022,JUG PLASTIC 1.5LT OTIMA ASSTD COLOURS,,11.99,OTIMA
F02014,JUG + LID 2LT FORM ASSTD COL,,13.5,
F02278,JUG 2.2LT PINEAPPLE ASSTD COL,,16.25,
F02012,CONTAINER RND 2 TONE 500ML ASSTD COLOURS,,8.95,
F02010,CONTAINER RND 2 TONE 1000ML ASSTD COLOURS,,9.95,
F02011,CONTAINER RND 2 TONE 1600ML ASSTD COLOURS,,15.95,
F02360,CONT. SET APPLE 3 IN 1 BG ASSTD COL,,37.5,
F02414,BUCKET 5LT W/LID ASSTD COLOURS,,12.5,
F02361,BUSCUIT BARREL 500G FANCY COLOR BG ASSTD,,6.9,
F02282,BUSCUIT BARREL 500ML CLEAR,,8.5,
F02271,BUSCUIT BARREL 1KG CLEAR,,9.29,
F02023,PLATE PLASTIC 10PCE ASSTD COLOURS,,33.5,
F02297,MICROWAVE COVER BG ASSTD COL,,12.95,
F02015,MICROWAVE COVER FORM CLEAR,,12.95,
F02362,"BOWL PLASTIC 8"" ASSTD COLOURS",,3.95,
F01993,BASIN PLASTIC 26CM ASSTD COL,,6.29,
F02273,BASIN PLASTIC 32CM ASSTD COL,,7.5,
F01995,BASIN PLASTIC 42CM ASSTD COL,,15.0,
F02274,BASIN PLASTIC 43CM ASSTD COL,,10.79,
F02275,BASIN PLASTIC 46CM ASSTD COL,,13.5,
F02322,BASIN PLASTIC 56CM ASSTD COL,,19.95,
F02301,BASIN PLASTIC 63CM ASSTD COL,,26.95,
F02323,BASIN PLASTIC 64CM ASSTD COL,,29.5,
F02251,Catering Folding Table 180 x 70 x 74CM Black,419.0,429.0,
F02009,CONT. RECT 2 TONE 700ML ASSTD COL,,10.95,
F02020,CONT. RECT SNAP OTIMA 600ML ASSTD COLOURS,,4.5,OTIMA
F02019,CONT. RECT SNAP OTIMA 1.2LT ASSTD COLOURS,,8.95,OTIMA
F02021,CONT. RECT SNAP OTIMA 2.2LT ASSTD COL,,12.5,OTIMA
F02017,LUNCH BOX SET 3PIECE ASSTD COL,,21.5,
F02016,LUNCH BOX SET 10PIECES ASSTD COL,,34.5,
F02018,LUNCH BOX SET 10PCS ASSTD COL,,47.95,
F02267,CONTAINER 5PCE SET ELITE LUNAR ASSTD COLOURS,,44.95,ELITE LUNAR
F01731,DUSTPAN WITH LIP ASSTD COL,,7.79,
F02004,DUSTPAN & BRUSH SET ASSTD,,20.95,
F02257,DUST BIN 12LT BLACK OTIMA,,33.95,OTIMA
F02258,DUST BIN 25LT BLACK OTIMA,,60.5,OTIMA
F02300,DUST BIN 50LT BLACK OTIMA,,91.95,OTIMA
F02364,BIN FUNKY COL 25LT BG,,45.95,
F02416,BIN FUNKY COL 65LT BG,,79.9,
F02359,HANGERS 10's PLASTIC VIRGIN HIGH QUALITY BG,,21.0,
F02031,HANGERS 20's ASSTD COLOUR,,26.5,
F02369,EKAMBA BLACK,,26.95,
F02093,LAUNDRY BASKET MINA BG ASSTD COLOURS,,24.85,
F02082,BASKET LAUNDRY LUCY,,24.5,
F02354,LINEN BASKET RECT. PLASTIC BG ASSTD COL,,41.5,
F01996,BATH OVAL 50LT BUZZ,,29.95,
F01998,BATH OVAL 90LT BUZZ,,43.95,
F02367,BATH OVAL 120LT BG ASSTD,,103.5,
F02002,BUCKET + LID 20LT TRIPPLE LOCK ASSTD COL BG,,32.95,
F02090,DISH RACK SMALL ASSTD COL,,18.95,
F02092,VEGETABLE RACK ASST COL,,48.45,
F02321,VEGETABLE RACK 3 TIER CORNER STAND FORM ASSTD,,54.95,
F02281,TEA/COFFEE/SUGAR 3PCE SET ASSTD,,14.79,
F02279,SCOUP PLASTIC H/DUTY ASSTD,,9.49,
F02084,BAR STOOL BLACK,,23.95,
F02083,BAR STOOL COLOUR ASSTD,,26.95,
F02024,SPOON RICE PLASTIC 10PCE ASSTD COL,,17.95,
F02003,CHAIRS KIDDIES +ARM ASSTD COL,,18.95,
F01603,CHAIR PARTY ADULT,,42.95,
F02327,CHAIR BLACK JUMBO,,92.5,
F03344,KNEE GUARD WRAP AROUND,,29.95,CAMEWIN
F02721,PADEL BALLS 3's,,79.95,CAMEWIN
F03342,PADEL RACKETS 12K/18K PRO SERIES,,1250.0,CWIN
F02811,Clear Veg Packet 500's 25 x 40CM,,30.95,Innovative Flexible Solutions
F00201,Table Mat (3 Colours) Perforated 10 Pieces Per Roll 1M x 2.2M,,87.95,
F00343,Laminate Table Mat 0.08 x 1.28M x 1.43M,,12.95,
F00016,Lantern Small - 24CM,,54.95,
F00087,Lantern Medium - 30CM,,65.95,
F00486,Lamp Base + Burner + Handle,,28.5,
F01293,Lamp Chimney,,14.5,
F02157,Candle Holder Metal,,7.95,
F00050,Vacuum Flask 0.45LT,,34.95,Ganthermoon
F00048,Vacuum Flask 1LT,,43.95,Ganthermoon
F00049,Vacuum Flask 1.8LT,,53.95,Ganthermoon
F00042,Hot Water Bottle 2LT,,24.95,
F00043,Hot Water Bottle 2LT + Cover,,25.95,
F02260,Cloth Multi-Purpose 5Pack (Asrtd Colors),,19.95,
F01760,FUNNEL 4 x 4.5CM,,0.95,
F01761,WICKS LARGE,,1.95,
F00002,BAMBOO PEGS 20 PACK,,3.29,
F00273,SAD IRON CHROME,,87.95,
F00249,CHARCOAL IRON CHROME,,89.95,
F00125,IRONING BOARD LARGE MULTI COLOURS,,155.0,
F02693,GAS STOVE WITH GAS HOSE/ REGULATOR KIT,,275.0,
F02694,GAS STOVE GLASS TOP WITH HOSE,,329.0,
F02806,CAMPHOR BLOCKS 16 x 8 = 128,,89.95,DEER
F02583,CleanCham Asstd Color + Yellow Case 43 x 32 x 0.2CM,,18.95,Clean Cham
F02788,Aluminium Foil Tray 6PK + Plastic Lid 4900ML 37 x 27CM x 70MM,,81.95,
F02758,"REACTIVE GLAZED PLATE 10.5""",15.95,17.95,
F02824,1.8LT JUG + LID,,24.95,
F01555,BOWL SET 7PCE CLEAR GIFT BOX,,79.95,
F00353,DRINK SET 7PCE 8OZ DESIGNS GIFT BOX,,69.95,IMPULSE
F01556,DRINK SET 7PCE 8OZ DESIGNS GIFT BOX,,89.95,
